patch_id,fold,tile,x_epsg2154,y_epsg2154,lon,lat
10000,1,t30uxv,392093.999140,6956118.008259,-1.26167761,49.62942310
10001,2,t30uxv,368217.757784,6879609.514798,-1.53074375,48.93077384
10002,4,t30uxv,389539.659006,6956315.281103,-1.29711080,49.62994985
10003,5,t30uxv,455816.976682,6916501.979440,-0.35760626,49.30139478
10004,4,t30uxv,365368.807095,6909364.756279,-1.59317087,49.19639151
10005,3,t30uxv,365173.087609,6890116.269034,-1.58054217,49.02351692
10006,3,t30uxv,368118.800660,6911721.903549,-1.55737363,49.21897886
10007,1,t30uxv,394549.638488,6954643.536171,-1.22666332,49.61737790
10008,4,t30uxv,365172.429077,6906811.222963,-1.59382347,49.17337042
10009,3,t30uxv,453363.243306,6917976.617145,-0.39217526,49.31369614
10010,5,t30uxv,375290.990664,6938143.789029,-1.47965962,49.45978260
10011,4,t30uxv,367726.277787,6889919.993473,-1.54553670,49.02308092
10012,5,t30uxv,450414.118912,6913069.075137,-0.42975607,49.26847649
10013,3,t30uxv,369592.082677,6914177.265521,-1.53912329,49.24177839
10014,4,t30uxv,445397.433135,6898049.805625,-0.48949038,49.13160355
10015,2,t30uxv,365468.572194,6877252.732431,-1.56634359,48.90819184
10016,3,t30uxv,461009.447728,6900690.791107,-0.27727274,49.16133866
10017,5,t30uxv,447762.277447,6911990.715142,-0.46550064,49.25775109
10018,5,t30uxv,367038.450694,6914373.745029,-1.57428299,49.24221774
10019,4,t30uxv,448345.761773,6902957.172273,-0.45207191,49.17684622
10020,4,t30uxv,372439.887289,6901115.113229,-1.48989262,49.12599923
10021,2,t30uxv,453165.059781,6915423.769313,-0.39338970,49.29069244
10022,5,t30uxv,381774.552769,6938928.654229,-1.39100056,49.47009711
10023,3,t30uxv,458171.507780,6913750.972744,-0.32367774,49.27758211
10024,3,t30uxv,459416.398280,6863586.254296,-0.27798276,48.82738566
10025,5,t30uxv,377938.819372,6889134.447377,-1.40552356,49.02123080
10026,4,t30uxv,451976.715569,6900107.681670,-0.40064393,49.15266783
