patch_id,depth_cm,ph,soc_gkg,clay_pct,sand_pct,cec_cmolkg,nitrogen_gkg,valid,confidence,source_version
10000,0-5,6.6,32.6,19.3,24.9,22.6,3.98,True,0.08869710543786631,m2_m3_auto_center_v1
10000,5-15,6.7,19.1,20.8,24.3,18.0,1.9,True,0.12529059380004132,m2_m3_auto_center_v1
10000,15-30,6.8,12.8,20.6,23.2,17.0,1.75,True,0.11353077383378823,m2_m3_auto_center_v1
10001,0-5,6.3,41.0,14.9,18.2,21.4,3.0,True,0.07450555453121988,m2_m3_auto_center_v1
10001,5-15,6.5,19.3,22.7,17.2,16.4,1.7,True,0.11785135674372368,m2_m3_auto_center_v1
10001,15-30,6.5,12.2,23.1,18.5,13.0,1.31,True,0.11990983263589015,m2_m3_auto_center_v1
10002,0-5,6.5,37.1,15.8,22.8,24.4,4.8,True,0.07857579187594535,m2_m3_auto_center_v1
10002,5-15,6.6,22.0,15.9,22.5,17.6,2.6,True,0.13563820751380007,m2_m3_auto_center_v1
10002,15-30,6.6,13.2,14.9,21.7,14.8,1.8,True,0.11438675572288022,m2_m3_auto_center_v1
10003,0-5,6.9,29.7,21.9,20.0,22.5,3.0,True,0.08437382115144657,m2_m3_auto_center_v1
10003,5-15,7.2,19.1,23.5,19.3,18.1,1.75,True,0.13914369886233066,m2_m3_auto_center_v1
10003,15-30,7.1,12.6,21.8,20.4,16.8,1.5,True,0.13568163205249686,m2_m3_auto_center_v1
10004,0-5,6.8,38.6,15.6,23.8,21.2,3.95,True,0.08307768687646311,m2_m3_auto_center_v1
10004,5-15,7.0,20.2,16.7,23.4,18.2,2.0,True,0.1255534534625187,m2_m3_auto_center_v1
10004,15-30,7.0,13.0,17.0,22.7,15.4,1.61,True,0.1180034520687821,m2_m3_auto_center_v1
10005,0-5,6.6,37.0,11.9,20.2,20.4,3.72,True,0.07292976058792419,m2_m3_auto_center_v1
10005,5-15,6.6,19.0,19.6,18.3,16.5,1.8,True,0.1108677596024705,m2_m3_auto_center_v1
10005,15-30,6.6,15.1,20.6,19.0,13.0,1.3,True,0.11015251000683852,m2_m3_auto_center_v1
10006,0-5,6.5,39.0,17.6,29.7,21.7,4.07,True,0.07153173077803231,m2_m3_auto_center_v1
10006,5-15,6.5,19.3,21.3,28.5,16.5,2.2,True,0.11425176931864348,m2_m3_auto_center_v1
10006,15-30,6.5,13.0,21.3,25.4,13.8,1.8,True,0.10680940485267483,m2_m3_auto_center_v1
10007,0-5,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10007,5-15,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10007,15-30,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10008,0-5,6.9,43.5,15.2,25.1,21.0,3.46,True,0.07321534850388398,m2_m3_auto_center_v1
10008,5-15,7.0,20.2,18.0,24.6,18.2,2.0,True,0.1181475386531685,m2_m3_auto_center_v1
10008,15-30,7.1,12.7,20.3,23.6,14.6,1.61,True,0.12302799714835558,m2_m3_auto_center_v1
10009,0-5,6.9,29.9,17.5,17.9,22.4,3.0,True,0.08269702151941562,m2_m3_auto_center_v1
10009,5-15,7.0,18.9,21.7,17.4,16.3,1.7,True,0.14053037843104468,m2_m3_auto_center_v1
10009,15-30,7.1,11.9,19.8,18.4,15.8,1.4,True,0.1393748341930961,m2_m3_auto_center_v1
10010,0-5,5.8,35.1,14.5,19.1,26.5,3.65,True,0.07607706165821636,m2_m3_auto_center_v1
10010,5-15,5.8,24.9,14.4,20.0,19.3,2.3,True,0.1152780187923624,m2_m3_auto_center_v1
10010,15-30,5.8,13.8,14.1,19.1,17.1,2.0,True,0.09234808016768527,m2_m3_auto_center_v1
10011,0-5,6.3,36.4,16.4,24.3,23.0,5.01,True,0.07191479561231823,m2_m3_auto_center_v1
10011,5-15,6.3,22.1,21.5,23.1,17.6,2.0,True,0.11590132916011046,m2_m3_auto_center_v1
10011,15-30,6.4,12.3,22.6,23.6,11.7,1.7,True,0.1254960681283928,m2_m3_auto_center_v1
10012,0-5,7.1,28.9,20.3,18.1,18.2,3.0,True,0.09054586164624234,m2_m3_auto_center_v1
10012,5-15,7.1,17.7,23.7,17.0,16.8,1.7,True,0.15825657224480644,m2_m3_auto_center_v1
10012,15-30,7.1,11.9,20.7,18.6,14.1,1.45,True,0.14521935099761527,m2_m3_auto_center_v1
10013,0-5,6.3,32.0,13.0,16.5,23.0,3.88,True,0.09526085409910211,m2_m3_auto_center_v1
10013,5-15,6.3,19.1,13.8,16.2,16.7,1.9,True,0.15058850877108942,m2_m3_auto_center_v1
10013,15-30,6.3,12.7,15.3,16.4,12.5,1.3,True,0.13129482241651866,m2_m3_auto_center_v1
10014,0-5,6.2,35.1,17.7,12.9,21.1,4.0,True,0.09421434048100034,m2_m3_auto_center_v1
10014,5-15,6.2,19.7,20.5,12.3,15.7,2.3,True,0.14608488836529904,m2_m3_auto_center_v1
10014,15-30,6.2,12.9,19.4,13.2,13.3,1.7,True,0.11048069685709648,m2_m3_auto_center_v1
10015,0-5,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10015,5-15,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10015,15-30,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10016,0-5,6.9,29.7,20.7,17.2,20.4,2.75,True,0.08738684208948276,m2_m3_auto_center_v1
10016,5-15,7.2,16.7,23.1,17.2,16.8,1.4,True,0.15739330450830943,m2_m3_auto_center_v1
10016,15-30,7.2,12.8,21.9,18.2,14.0,1.02,True,0.13066617624632024,m2_m3_auto_center_v1
10017,0-5,6.6,30.1,15.1,14.0,21.3,3.55,True,0.09585092392418694,m2_m3_auto_center_v1
10017,5-15,6.6,17.5,18.8,13.1,17.1,1.65,True,0.1477809467327928,m2_m3_auto_center_v1
10017,15-30,6.6,11.9,18.7,15.3,14.2,1.3,True,0.13491830587409567,m2_m3_auto_center_v1
